source_id,condition_id,model,parameter_potential,parameter_potential_unit,hydrolysis_k_day,lag_days,max_rate,max_rate_unit,r_squared,data_kind,doi,source_url,license,notes
da_borso_2021,is50,first_order,564.2,NmL CH4/g VS,0.15,,,,,published_fitted_parameters,10.3390/app11020552,https://www.mdpi.com/2076-3417/11/2/552/,CC BY 4.0,"Potential paired with the published first-order hydrolysis constant"
da_borso_2021,is50,modified_gompertz,564.2,NmL CH4/g VS,,14.0,63.1,NmL CH4/g VS/day,0.9934,published_fitted_parameters,10.3390/app11020552,https://www.mdpi.com/2076-3417/11/2/552/,CC BY 4.0,"R-squared reported for the condition"
da_borso_2021,is30,first_order,319.4,NmL CH4/g VS,0.13,,,,,published_fitted_parameters,10.3390/app11020552,https://www.mdpi.com/2076-3417/11/2/552/,CC BY 4.0,"Potential paired with the published first-order hydrolysis constant"
da_borso_2021,is30,modified_gompertz,319.4,NmL CH4/g VS,,13.5,40.3,NmL CH4/g VS/day,,published_fitted_parameters,10.3390/app11020552,https://www.mdpi.com/2076-3417/11/2/552/,CC BY 4.0,"Article reports an intermediate R-squared but not its exact value in text"
da_borso_2021,is03,first_order,127.7,NmL CH4/g VS,0.11,,,,,published_fitted_parameters,10.3390/app11020552,https://www.mdpi.com/2076-3417/11/2/552/,CC BY 4.0,"Potential paired with the published first-order hydrolysis constant"
da_borso_2021,is03,modified_gompertz,127.7,NmL CH4/g VS,,5.5,16.0,NmL CH4/g VS/day,0.9946,published_fitted_parameters,10.3390/app11020552,https://www.mdpi.com/2076-3417/11/2/552/,CC BY 4.0,"R-squared reported for the condition"
da_borso_2021,s100,first_order,62.2,NmL CH4/g VS,0.11,,,,0.9634,published_fitted_parameters,10.3390/app11020552,https://www.mdpi.com/2076-3417/11/2/552/,CC BY 4.0,"First-order R-squared reported for the no-inoculum condition"
da_borso_2021,s100,modified_gompertz,62.2,NmL CH4/g VS,,7.6,15.4,NmL CH4/g VS/day,0.9238,published_fitted_parameters,10.3390/app11020552,https://www.mdpi.com/2076-3417/11/2/552/,CC BY 4.0,"Modified-Gompertz R-squared reported for the no-inoculum condition"
