source_id,condition_id,authors,year,title,doi,source_url,contact_relevance,data_kind,substrate,treatment,salinity_pct,temperature_c,duration_days,inoculum_substrate_ratio,methane_yield,methane_yield_unit,reported_dispersion,dispersion_type,notes
senol_2026,freshwater_control,"Senol et al.",2026,"Influence of biochar and zeolite on biochemical methane potential in saline aquaculture sludge",10.1016/j.biortech.2026.134345,https://pubmed.ncbi.nlm.nih.gov/41791610/,"Nazli Pelin Kocatürk Schumacher was previously contacted",published_endpoint,RAS aquaculture sludge,control,0,mesophilic,,2:1,533.6,NmL CH4/g VS,3.4,not_specified_in_abstract,"Endpoint transcribed from the publisher-indexed abstract; not a raw time series"
senol_2026,brackish_control,"Senol et al.",2026,"Influence of biochar and zeolite on biochemical methane potential in saline aquaculture sludge",10.1016/j.biortech.2026.134345,https://pubmed.ncbi.nlm.nih.gov/41791610/,"Nazli Pelin Kocatürk Schumacher was previously contacted",published_endpoint,RAS aquaculture sludge,control,1.2,mesophilic,,2:1,478.1,NmL CH4/g VS,10.2,not_specified_in_abstract,"Endpoint transcribed from the publisher-indexed abstract; not a raw time series"
senol_2026,marine_control,"Senol et al.",2026,"Influence of biochar and zeolite on biochemical methane potential in saline aquaculture sludge",10.1016/j.biortech.2026.134345,https://pubmed.ncbi.nlm.nih.gov/41791610/,"Nazli Pelin Kocatürk Schumacher was previously contacted",published_endpoint,RAS aquaculture sludge,control,3.3,mesophilic,,2:1,341.3,NmL CH4/g VS,0.6,not_specified_in_abstract,"Endpoint transcribed from the publisher-indexed abstract; not a raw time series"
da_borso_2021,is50,"da Borso et al.",2021,"Biomethane Potential of Sludges from a Brackish Water Fish Hatchery",10.3390/app11020552,https://www.mdpi.com/2076-3417/11/2/552/,none,published_endpoint,brackish-water fish hatchery sludge,control,,38,36,50,564.2,NmL CH4/g VS,16.9,standard_error,"CC BY 4.0 article; endpoint and dispersion transcribed from article text"
da_borso_2021,is30,"da Borso et al.",2021,"Biomethane Potential of Sludges from a Brackish Water Fish Hatchery",10.3390/app11020552,https://www.mdpi.com/2076-3417/11/2/552/,none,published_endpoint,brackish-water fish hatchery sludge,control,,38,36,30,319.4,NmL CH4/g VS,,,"CC BY 4.0 article; endpoint transcribed from article text"
da_borso_2021,is03,"da Borso et al.",2021,"Biomethane Potential of Sludges from a Brackish Water Fish Hatchery",10.3390/app11020552,https://www.mdpi.com/2076-3417/11/2/552/,none,published_endpoint,brackish-water fish hatchery sludge,control,,38,36,3,127.7,NmL CH4/g VS,,,"CC BY 4.0 article; endpoint transcribed from article text"
da_borso_2021,s100,"da Borso et al.",2021,"Biomethane Potential of Sludges from a Brackish Water Fish Hatchery",10.3390/app11020552,https://www.mdpi.com/2076-3417/11/2/552/,none,published_endpoint,brackish-water fish hatchery sludge,no inoculum,,38,36,0,62.2,NmL CH4/g VS,,,"CC BY 4.0 article; endpoint transcribed from article text"
ngo_2024,control,"Ngo et al.",2024,"Enhanced methane production during the anaerobic digestion of chicken manure through the addition of pristine and recovered biochar",10.1016/j.clwas.2023.100126,https://www.sciencedirect.com/science/article/pii/S2772912523000520,none,published_endpoint,chicken manure,control,,mesophilic,21,,99.8,mL CH4/g VS,,,"Endpoint transcribed from the publisher article summary; not normalized-volume data"
ngo_2024,combined_biochar,"Ngo et al.",2024,"Enhanced methane production during the anaerobic digestion of chicken manure through the addition of pristine and recovered biochar",10.1016/j.clwas.2023.100126,https://www.sciencedirect.com/science/article/pii/S2772912523000520,none,published_endpoint,chicken manure,5% combined pristine/recovered biochar,,mesophilic,21,,112.0,mL CH4/g VS,,,"Endpoint transcribed from the publisher article summary; not normalized-volume data"
