study_id,source_doi,treatment,control,material,material_process_temperature_c,dose_g_l,temperature_c,response,treatment_estimate,control_estimate,treatment_sd,control_sd,log_response_ratio,percent_change,log_response_ratio_se,log_response_ratio_ci95_low,log_response_ratio_ci95_high,percent_change_ci95_low,percent_change_ci95_high,n_treatment_reactors,n_control_reactors,low_replication,estimate_level,replicate_level_available,supports_cross_study_pooling
kozlowski_2025_scientific_reports,10.1038/s41598-025-02564-0,food_waste_hydrochar_240c,food_waste,hydrochar,240.0,5.0,37,max_rate_ml_g_vs_day,66.34372545958166,67.97589098712422,1.1801988246210378,2.412308625983358,-0.024303908997924752,-2.4010947173192854,0.022918926077633094,-0.06922417868496293,0.020616360689113423,-6.688252841865977,2.0830345855048726,3,3,False,reactor_level_gompertz_fit_mean,True,False
kozlowski_2025_scientific_reports,10.1038/s41598-025-02564-0,food_waste_pyrolysis_600c,food_waste,biochar,600.0,5.0,37,max_rate_ml_g_vs_day,62.93792746287534,67.97589098712422,0.4870673001424469,2.412308625983358,-0.07700413568473648,-7.411397557412169,0.021207013151790334,-0.11856911769166686,-0.03543915367780608,-11.18095761366587,-3.481853981454482,2,3,True,reactor_level_gompertz_fit_mean,True,False
kozlowski_2025_scientific_reports,10.1038/s41598-025-02564-0,food_waste_torrefaction_240c,food_waste,torrefaction_product,240.0,5.0,37,max_rate_ml_g_vs_day,66.89723172637545,67.97589098712422,0.005824872465049996,2.412308625983358,-0.01599551100227977,-1.5868262189503102,0.02048893074667167,-0.0561530773569154,0.02416205535235586,-5.4605593663694485,2.4456323069652584,2,3,True,reactor_level_gompertz_fit_mean,True,False
kozlowski_2025_scientific_reports,10.1038/s41598-025-02564-0,food_waste_hydrochar_240c,food_waste,hydrochar,240.0,5.0,37,potential_ml_g_vs,375.33678226256325,346.1852922368075,1.2980315379177774,13.016763670849791,0.08084955055548897,8.42077658394993,0.021800326019062025,0.038121696696868976,0.12357740441410896,3.8857650730635176,13.153758715637062,3,3,False,reactor_level_gompertz_fit_mean,True,False
kozlowski_2025_scientific_reports,10.1038/s41598-025-02564-0,food_waste_pyrolysis_600c,food_waste,biochar,600.0,5.0,37,potential_ml_g_vs,361.60485306286444,346.1852922368075,0.9670821285960838,13.016763670849791,0.043577891098437356,4.454135161672079,0.02179091158620439,0.00086848918915753,0.08628729300771718,0.08688664350968071,9.011946702214477,2,3,True,reactor_level_gompertz_fit_mean,True,False
kozlowski_2025_scientific_reports,10.1038/s41598-025-02564-0,food_waste_torrefaction_240c,food_waste,torrefaction_product,240.0,5.0,37,potential_ml_g_vs,387.2138575663638,346.1852922368075,2.5016648112483777,13.016763670849791,0.11200298552088038,11.851619999353048,0.022184178318984647,0.06852279497885264,0.15548317606290812,7.092503638630642,16.822228180374303,2,3,True,reactor_level_gompertz_fit_mean,True,False
