study_id,treatment,replicate,time_hours,time_days,source_day_label,source_reported_time_days,temperature_c,carbon_material,process_temperature_c,dose_g_l,raw_cumulative_methane_ml,blank_mean_cumulative_methane_ml,methane_ml_g_vs,included_in_benchmark,exclusion_reason,data_origin,source_doi
kozlowski_2025_scientific_reports,food_waste_hydrochar_240c,3,1,0.04166667,1,0.01041667,37,hydrochar,240,5.0,30.80000000,14.23333333,3.74337834,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,1,2,0.08333333,1,0.02083333,37,none,,0.0,51.40000000,21.46666667,6.76368963,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,2,2,0.08333333,1,0.02083333,37,none,,0.0,49.70000000,21.46666667,6.37956026,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,3,2,0.08333333,1,0.02083333,37,none,,0.0,41.10000000,21.46666667,4.43631759,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,1,2,0.08333333,1,0.02083333,37,torrefaction_product,240,5.0,58.00000000,21.46666667,8.25501541,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,2,2,0.08333333,1,0.02083333,37,torrefaction_product,240,5.0,0.30000000,21.46666667,-4.78278721,false,excluded_from_publisher_mean; inconsistent_raw_signal,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,3,2,0.08333333,1,0.02083333,37,torrefaction_product,240,5.0,58.70000000,21.46666667,8.41318632,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,1,2,0.08333333,1,0.02083333,37,biochar,600,5.0,60.00000000,21.46666667,8.70693231,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,2,2,0.08333333,1,0.02083333,37,biochar,600,5.0,50.20000000,21.46666667,6.49253949,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,3,2,0.08333333,1,0.02083333,37,biochar,600,5.0,26.50000000,21.46666667,1.13732420,false,excluded_from_publisher_mean; inconsistent_raw_signal,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_hydrochar_240c,1,2,0.08333333,1,0.02083333,37,hydrochar,240,5.0,50.60000000,21.46666667,6.58292287,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_hydrochar_240c,2,2,0.08333333,1,0.02083333,37,hydrochar,240,5.0,59.20000000,21.46666667,8.52616555,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_hydrochar_240c,3,2,0.08333333,1,0.02083333,37,hydrochar,240,5.0,50.60000000,21.46666667,6.58292287,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,1,3,0.12500000,1,0.03125000,37,none,,0.0,77.80000000,28.03333333,11.24519891,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,2,3,0.12500000,1,0.03125000,37,none,,0.0,73.50000000,28.03333333,10.27357757,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,3,3,0.12500000,1,0.03125000,37,none,,0.0,58.40000000,28.03333333,6.86160496,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,1,3,0.12500000,1,0.03125000,37,torrefaction_product,240,5.0,82.00000000,28.03333333,12.19422440,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,2,3,0.12500000,1,0.03125000,37,torrefaction_product,240,5.0,0.40000000,28.03333333,-6.24398519,false,excluded_from_publisher_mean; inconsistent_raw_signal,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,3,3,0.12500000,1,0.03125000,37,torrefaction_product,240,5.0,79.90000000,28.03333333,11.71971165,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,1,3,0.12500000,1,0.03125000,37,biochar,600,5.0,83.20000000,28.03333333,12.46537454,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,2,3,0.12500000,1,0.03125000,37,biochar,600,5.0,68.50000000,28.03333333,9.14378531,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,3,3,0.12500000,1,0.03125000,37,biochar,600,5.0,27.20000000,28.03333333,-0.18829871,false,excluded_from_publisher_mean; inconsistent_raw_signal,experimental_publisher_supplement,10.1038/s41598-025-02564-0
